605 22*a-11 [-1, -2, '?', 14, '?', '?', 8, -4, -6, 6, 8, -4, -6, 6, -12, 0, -10, 2, 0, 0, -4, 8, -18, 6]
620 2*a+24 ['?', -2, '?', 14, -6, 0, 2, 2, 6, 0, '?', '?', -6, 6, -12, 0, 8, -10, 0, -12, 8, 8, -6, 6]
620 2*a-26 ['?', -2, '?', 14, 0, -6, 2, 2, 0, 6, '?', '?', 6, -6, 0, -12, -10, 8, -12, 0, 8, 8, 6, -6]
620 2*a-26 ['?', 4, '?', -9, 1, -3, 6, 5, -2, 7, '?', '?', 8, -4, 6, 3, -5, -14, 14, -5, -14, 10, 10, -9]
620 2*a+24 ['?', -2, '?', -6, 0, 4, -4, 0, -2, -2, '?', '?', 2, 2, -12, 12, 10, -2, 16, -4, -8, 16, 18, 10]
620 2*a+24 ['?', 2, '?', 2, 4, -4, 4, -4, -2, -2, '?', '?', -6, -6, 12, -4, 6, -2, -8, 0, 0, 16, 10, -6]
620 2*a-26 ['?', 2, '?', 2, -4, 4, -4, 4, -2, -2, '?', '?', -6, -6, -4, 12, -2, 6, 0, -8, 16, 0, -6, 10]
620 2*a+24 ['?', 4, '?', -9, -3, 1, 5, 6, 7, -2, '?', '?', -4, 8, 3, 6, -14, -5, -5, 14, 10, -14, -9, 10]
620 2*a-26 ['?', -2, '?', -6, 4, 0, 0, -4, -2, -2, '?', '?', 2, 2, 12, -12, -2, 10, -4, 16, 16, -8, 10, 18]
639 3*a+24 [2, '?', 1, 2, 3, 0, -6, 0, 6, 3, -2, -3, 2, -9, 10, -5, -6, -5, '?', '?', 10, 4, 10, -2]
639 3*a-27 [-1, '?', 0, -4, 0, 0, -4, 2, -6, 6, 8, 2, 12, 6, 6, -12, -10, -4, '?', '?', -4, 14, 18, 6]
639 3*a+24 [-1, '?', 4, -4, 0, 0, 6, 0, -6, 6, -2, 0, -10, 0, 4, -2, -12, -2, '?', '?', -14, 16, -2, 10]
639 3*a-27 [-2, '?', -1, 8, -2, 5, 6, 6, 9, 2, -3, 4, -7, 0, -3, -10, -1, 6, '?', '?', -4, -4, -8, 6]
639 3*a+24 [-2, '?', -1, 8, 5, -2, 6, 6, 2, 9, 4, -3, 0, -7, -10, -3, 6, -1, '?', '?', -4, -4, 6, -8]
639 3*a+24 [-1, '?', 0, -4, 0, 0, 2, -4, 6, -6, 2, 8, 6, 12, -12, 6, -4, -10, '?', '?', 14, -4, 6, 18]
639 3*a-27 [2, '?', 1, 2, 0, 3, 0, -6, 3, 6, -3, -2, -9, 2, -5, 10, -5, -6, '?', '?', 4, 10, -2, 10]
639 3*a-27 [-1, '?', 4, -4, 0, 0, 0, 6, 6, -6, 0, -2, 0, -10, -2, 4, -2, -12, '?', '?', 16, -14, 10, -2]
649 -23*a+15 [-2, -1, -2, -4, '?', '?', 0, -5, -9, 0, -6, 3, 0, -3, '?', '?', 7, 5, 10, 2, -1, -6, 10, 2]
649 -23*a+8 [-2, -1, -2, -4, '?', '?', -5, 0, 0, -9, 3, -6, -3, 0, '?', '?', 5, 7, 2, 10, -6, -1, 2, 10]
649 a+25 [-1, 2, 4, 8, '?', '?', 0, -4, -2, 2, -10, -8, 2, 4, '?', '?', 0, -8, 6, 0, -10, -8, 14, 10]
649 a-26 [-1, 2, 4, 8, '?', '?', -4, 0, 2, -2, -8, -10, 4, 2, '?', '?', -8, 0, 0, 6, -8, -10, 10, 14]
656 4*a-28 ['?', -4, -1, -6, 5, -2, -1, 6, 9, 2, 4, -10, '?', '?', 4, -3, -8, 6, 9, -12, -4, -11, -8, -1]
656 4*a+24 ['?', 2, 2, -6, -2, -4, -6, 8, 8, -6, -4, -8, '?', '?', 0, 4, 0, -8, 0, 0, 16, -4, 14, 10]
656 4*a-28 ['?', 2, 2, -6, -4, -2, 8, -6, -6, 8, -8, -4, '?', '?', 4, 0, -8, 0, 0, 0, -4, 16, 10, 14]
656 4*a+24 ['?', -4, -1, -6, -2, 5, 6, -1, 2, 9, -10, 4, '?', '?', -3, 4, 6, -8, -12, 9, -11, -4, -1, -8]
684 -24*a+6 ['?', '?', -3, -4, -6, 3, '?', '?', -6, 3, 5, 5, 6, 6, 6, -12, 8, 8, -9, 0, -1, -1, 9, 0]
684 -24*a+18 ['?', '?', -3, -4, 3, -6, '?', '?', 3, -6, 5, 5, 6, 6, -12, 6, 8, 8, 0, -9, -1, -1, 0, 9]
684 -24*a+18 ['?', '?', -4, 10, 2, 2, '?', '?', 0, 0, -8, -8, 2, 2, -10, -10, 2, 2, 12, 12, 0, 0, 10, 10]
