Data for fields of degree 3, prime conductor < 10000 with curve 42a1
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
42a1                 1369                 1369.0000            87616.0000           7927                 3
42a1                 81                   81.0000              81.0000              7933                 3
42a1                 576                  576.0000             2304.0000            7951                 3
42a1                 4                    4.0000               1024.0000            7963                 3
42a1                 3364                 3364.0000            3364.0000            7993                 3
42a1                 0                    -0.0000              -0.0000              8011                 3
42a1                 4225                 4225.0000            4225.0000            8017                 3
42a1                 1                    1.0000               4.0000               8053                 3
42a1                 64                   64.0000              4096.0000            8059                 3
42a1                 0                    -0.0000              -0.0000              8089                 3
42a1                 1521                 1521.0000            97344.0000           8101                 3
42a1                 1                    1.0000               4.0000               8161                 3
42a1                 9                    9.0000               576.0000             8167                 3
42a1                 81                   81.0000              81.0000              8179                 3
42a1                 1                    1.0000               256.0000             8191                 3
42a1                 1296                 1296.0000            1296.0000            8209                 3
42a1                 121                  121.0000             484.0000             8221                 3
42a1                 4                    4.0000               16.0000              8233                 3
42a1                 1225                 1225.0000            1225.0000            8263                 3
42a1                 1600                 1600.0000            1600.0000            8269                 3
42a1                 1849                 1849.0000            118336.0000          8287                 3
42a1                 81                   81.0000              81.0000              8293                 3
42a1                 100                  100.0000             100.0000             8311                 3
42a1                 144                  144.0000             9216.0000            8317                 3
42a1                 5041                 5041.0000            5041.0000            8329                 3
42a1                 64                   64.0000              4096.0000            8353                 3
42a1                 81                   81.0000              20736.0000           8377                 3
42a1                 3025                 3025.0000            193600.0000          8389                 3
42a1                 0                    -0.0000              -0.0000              8419                 3
42a1                 1936                 1936.0000            1936.0000            8431                 3
42a1                 361                  361.0000             361.0000             8443                 3
42a1                 4                    4.0000               16.0000              8461                 3
42a1                 2209                 2209.0000            2209.0000            8467                 3
42a1                 576                  576.0000             576.0000             8521                 3
42a1                 144                  144.0000             576.0000             8527                 3
42a1                 24025                24025.0000           24025.0000           8539                 3
42a1                 361                  361.0000             361.0000             8563                 3
42a1                 169                  169.0000             676.0000             8581                 3
42a1                 961                  961.0000             961.0000             8599                 3
42a1                 19881                19881.0000           19881.0000           8623                 3
42a1                 1                    1.0000               64.0000              8629                 3
42a1                 256                  256.0000             256.0000             8641                 3
42a1                 144                  144.0000             144.0000             8647                 3
42a1                 576                  576.0000             2304.0000            8677                 3
42a1                 144                  144.0000             144.0000             8689                 3
42a1                 324                  324.0000             82944.0000           8707                 3
42a1                 625                  625.0000             40000.0000           8713                 3
42a1                 49                   49.0000              3136.0000            8719                 3
42a1                 1024                 1024.0000            1024.0000            8731                 3
42a1                 225                  225.0000             900.0000             8737                 3
42a1                 36                   36.0000              2304.0000            8761                 3
42a1                 36                   36.0000              9216.0000            8779                 3
