Data for fields of degree 3 of conductor < 10000 with curves having conductor between 11 and 11
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
11a1                 7225                 7225.0000            7225.0000            6661                 3
11a1                 4900                 4900.0000            4900.0000            6673                 3
11a1                 4900                 4900.0000            4900.0000            6679                 3
11a1                 168100               168100.0000          168100.0000          6691                 3
11a1                 900                  900.0000             900.0000             6703                 3
11a1                 64                   64.0000              1600.0000            6709                 3
11a1                 164025               164025.0000          164025.0000          6733                 3
11a1                 164025               164025.0000          164025.0000          6763                 3
11a1                 2500                 2500.0000            2500.0000            6781                 3
11a1                 11025                11025.0000           11025.0000           6793                 3
11a1                 7744                 7744.0000            193599.9996          6823                 3
11a1                 260100               260100.0000          260100.0000          6829                 3
11a1                 841                  841.0000             21025.0000           6841                 3
11a1                 731025               731025.0000          731025.0000          6871                 3
11a1                 196                  196.0000             4900.0000            6883                 3
11a1                 10609                10609.0000           265225.0000          6907                 3
11a1                 70225                70225.0000           70225.0000           6949                 3
11a1                 225                  225.0000             225.0000             6961                 3
11a1                 900                  900.0000             900.0000             6967                 3
11a1                 7225                 7225.0000            7225.0000            6991                 3
11a1                 18225                18225.0000           18225.0000           6997                 3
11a1                 11025                11025.0000           11025.0000           7027                 3
11a1                 3721                 3721.0000            93024.9998           7039                 3
11a1                 7225                 7225.0000            7225.0000            7057                 3
11a1                 361                  361.0000             9025.0000            7069                 3
11a1                 216225               216225.0000          216225.0000          7129                 3
11a1                 529                  529.0000             13225.0000           7159                 3
11a1                 57600                57599.9999           57599.9999           7177                 3
11a1                 17689                17689.0000           442224.9988          7207                 3
11a1                 1                    1.0000               25.0000              7213                 3
11a1                 400                  400.0000             400.0000             7219                 3
11a1                 119025               119025.0000          119025.0000          7237                 3
11a1                 49                   49.0000              1225.0000            7243                 3
11a1                 1                    1.0000               25.0000              7297                 3
11a1                 27225                27225.0000           27225.0000           7309                 3
11a1                 49                   49.0000              1225.0000            7321                 3
11a1                 49                   49.0000              1225.0000            7333                 3
11a1                 5476                 5476.0000            136900.0000          7351                 3
11a1                 1                    1.0000               25.0000              7369                 3
11a1                 121                  121.0000             3025.0000            7393                 3
11a1                 176400               176400.0000          176400.0000          7411                 3
11a1                 319225               319225.0000          319225.0000          7417                 3
11a1                 12544                12544.0000           313599.9990          7459                 3
11a1                 22801                22800.9999           570024.9984          7477                 3
11a1                 12100                12099.9999           12099.9999           7489                 3
11a1                 484                  484.0000             12100.0000           7507                 3
11a1                 1600                 1600.0000            1600.0000            7537                 3
11a1                 361                  361.0000             9025.0000            7549                 3
11a1                 121                  121.0000             3025.0000            7561                 3
11a1                 40000                40000.0000           40000.0000           7573                 3
11a1                 361                  361.0000             9025.0000            7591                 3
11a1                 144400               144400.0000          144400.0000          7603                 3
11a1                 144400               144400.0000          144400.0000          7621                 3
11a1                 100                  100.0000             100.0000             7639                 3
11a1                 14400                14400.0000           14400.0000           7669                 3
11a1                 0                    0.0000               0.0000               7681                 3
11a1                 87025                87025.0000           87025.0000           7687                 3
